epoch,accuracy,categorical_accuracy,loss,precision,recall,val_accuracy,val_categorical_accuracy,val_loss,val_precision,val_recall
0,0.8484155535697937,0.8484155535697937,0.38372310996055603,0.9058858156204224,0.7848479151725769,0.8498803973197937,0.8498803973197937,0.40741419792175293,0.8873754143714905,0.7987440228462219
1,0.90055251121521,0.90055251121521,0.24442127346992493,0.9237605333328247,0.8779450058937073,0.8522727489471436,0.8522727489471436,0.37927451729774475,0.8730358481407166,0.8307416439056396
2,0.9093795418739319,0.9093795418739319,0.225315660238266,0.9266327619552612,0.8910903930664062,0.8639354109764099,0.8639354109764099,0.36905285716056824,0.8873599767684937,0.8292464017868042
3,0.9149044156074524,0.9149044156074524,0.21356900036334991,0.9320381879806519,0.8987743854522705,0.8752990365028381,0.8752990365028381,0.33333706855773926,0.8885082602500916,0.853169858455658
4,0.9179525971412659,0.9179525971412659,0.20533283054828644,0.9318404793739319,0.9037911891937256,0.8717105388641357,0.8717105388641357,0.3429805338382721,0.8952350616455078,0.8483851552009583
5,0.919349730014801,0.919349730014801,0.20139068365097046,0.9332591891288757,0.9057598114013672,0.8621411323547363,0.8621411323547363,0.35222187638282776,0.8798121809959412,0.8406100273132324
6,0.9216993451118469,0.9216993451118469,0.19563503563404083,0.9342432022094727,0.9085540175437927,0.8717105388641357,0.8717105388641357,0.3442299962043762,0.8888542056083679,0.8513755798339844
7,0.9224614500999451,0.9224614500999451,0.19259795546531677,0.9350192546844482,0.911030650138855,0.8812798857688904,0.8812798857688904,0.3258987069129944,0.8977165818214417,0.8582535982131958
8,0.9279862642288208,0.9279862642288208,0.18233196437358856,0.9393900036811829,0.9173175692558289,0.8788875341415405,0.8788875341415405,0.31653106212615967,0.8996235728263855,0.8576555252075195
9,0.9252555966377258,0.9252555966377258,0.18831664323806763,0.9360207915306091,0.9142059087753296,0.8878588676452637,0.8878588676452637,0.3121721148490906,0.9070059657096863,0.8633373379707336
10,0.927287757396698,0.927287757396698,0.1825362741947174,0.9374472498893738,0.9174445867538452,0.8839712738990784,0.8839712738990784,0.315360963344574,0.900746762752533,0.8657296895980835
11,0.9269702434539795,0.9269702434539795,0.18075068295001984,0.9387356638908386,0.916619062423706,0.8794856667518616,0.8794856667518616,0.3261755108833313,0.8989260792732239,0.8510765433311462
12,0.9288753271102905,0.9288753271102905,0.17597538232803345,0.9406256079673767,0.9185241460800171,0.883074164390564,0.883074164390564,0.3132953941822052,0.8951091766357422,0.8702152967453003
13,0.9304629564285278,0.9304629564285278,0.1771463006734848,0.940255880355835,0.9194767475128174,0.8911483287811279,0.8911483287811279,0.3078685700893402,0.9023941159248352,0.8791866302490234
14,0.9319235682487488,0.9319235682487488,0.1707209348678589,0.9409477114677429,0.9218263626098633,0.8791866302490234,0.8791866302490234,0.31936725974082947,0.8946389555931091,0.8633373379707336
15,0.9302089214324951,0.9302089214324951,0.1750367283821106,0.941382884979248,0.9199212789535522,0.8881579041481018,0.8881579041481018,0.30658459663391113,0.89898681640625,0.8755980730056763
16,0.9334476590156555,0.9334476590156555,0.16866637766361237,0.9431678652763367,0.9253191351890564,0.8953348994255066,0.8953348994255066,0.29771938920021057,0.9066377282142639,0.8741028904914856
17,0.9338921904563904,0.9338921904563904,0.1645096242427826,0.9427999258041382,0.9263351559638977,0.8887559771537781,0.8887559771537781,0.29535695910453796,0.9065711498260498,0.8705143332481384
18,0.9335746765136719,0.9335746765136719,0.1669231653213501,0.9425517916679382,0.924176037311554,0.8884569406509399,0.8884569406509399,0.3065687417984009,0.9030152559280396,0.8687201142311096
19,0.9334476590156555,0.9334476590156555,0.1644172966480255,0.9436811208724976,0.9246840476989746,0.8947368264198303,0.8947368264198303,0.3094571828842163,0.9053598642349243,0.8839712738990784
20,0.9349082112312317,0.9349082112312317,0.1631319224834442,0.9424070119857788,0.9269067049026489,0.8926435112953186,0.8926435112953186,0.3147734999656677,0.9095761179924011,0.8663277626037598
21,0.9351622462272644,0.9351622462272644,0.16069763898849487,0.943261981010437,0.9258906245231628,0.8890550136566162,0.8890550136566162,0.306581050157547,0.9024314880371094,0.8767942786216736
22,0.9355432987213135,0.9355432987213135,0.16143085062503815,0.9452285170555115,0.9271607398986816,0.8938397169113159,0.8938397169113159,0.3042987287044525,0.9078455567359924,0.8720095753669739
23,0.9354797601699829,0.9354797601699829,0.15983349084854126,0.9445127248764038,0.9274782538414001,0.89952152967453,0.89952152967453,0.286517471075058,0.9113573431968689,0.8854665160179138
24,0.9374483823776245,0.9374483823776245,0.15925775468349457,0.9455426335334778,0.9295103549957275,0.8911483287811279,0.8911483287811279,0.3031025826931,0.9039530754089355,0.8752990365028381
25,0.9371944069862366,0.9371944069862366,0.15974265336990356,0.9458096027374268,0.9288118481636047,0.8953348994255066,0.8953348994255066,0.2790094316005707,0.9073275923728943,0.8812798857688904
26,0.9396710395812988,0.9396710395812988,0.15395399928092957,0.9473684430122375,0.9327490925788879,0.8950358629226685,0.8950358629226685,0.2837177813053131,0.9106317162513733,0.8836722373962402
27,0.9378929138183594,0.9378929138183594,0.15704484283924103,0.9464977979660034,0.9302089214324951,0.8980262875556946,0.8980262875556946,0.2860143184661865,0.9099876880645752,0.8827751278877258
28,0.9372578859329224,0.9372578859329224,0.15463875234127045,0.9452267289161682,0.9293198585510254,0.8989234566688538,0.8989234566688538,0.2809368371963501,0.9177274107933044,0.8839712738990784
29,0.9391630291938782,0.9391630291938782,0.15743833780288696,0.9473208785057068,0.9318600296974182,0.896830141544342,0.896830141544342,0.2890594005584717,0.9060092568397522,0.8791866302490234
30,0.9400520920753479,0.9400520920753479,0.150936096906662,0.9475892186164856,0.9323045611381531,0.8977272510528564,0.8977272510528564,0.2780436873435974,0.9092024564743042,0.8863636255264282
31,0.939226508140564,0.939226508140564,0.15488028526306152,0.9470014572143555,0.9316059947013855,0.8884569406509399,0.8884569406509399,0.2944963872432709,0.9077019095420837,0.8705143332481384
32,0.9382739663124084,0.9382739663124084,0.1552230566740036,0.9460594058036804,0.930018424987793,0.8980262875556946,0.8980262875556946,0.2796064019203186,0.9105490446090698,0.8827751278877258
33,0.9401155710220337,0.9401155710220337,0.15272080898284912,0.94818115234375,0.9319235682487488,0.9055023789405823,0.9055023789405823,0.2640429139137268,0.9141631126403809,0.8917464017868042
34,0.9390994906425476,0.9390994906425476,0.1489841490983963,0.9469140768051147,0.933384120464325,0.8920454382896423,0.8920454382896423,0.29174503684043884,0.9048795700073242,0.8761961460113525
35,0.9390360116958618,0.9390360116958618,0.1524857133626938,0.9459389448165894,0.9311614632606506,0.9010167717933655,0.9010167717933655,0.27304407954216003,0.9099236726760864,0.8911483287811279
36,0.9420841932296753,0.9420841932296753,0.14848345518112183,0.94928377866745,0.9342731833457947,0.8839712738990784,0.8839712738990784,0.30528944730758667,0.8982945680618286,0.8663277626037598
37,0.9427827596664429,0.9427827596664429,0.14831528067588806,0.9486932158470154,0.935860812664032,0.9046052694320679,0.9046052694320679,0.26265591382980347,0.9135499596595764,0.8911483287811279
38,0.9411316514015198,0.9411316514015198,0.1478663980960846,0.9490585327148438,0.9346542358398438,0.8977272510528564,0.8977272510528564,0.2716318666934967,0.909480094909668,0.8893540501594543
39,0.9418302178382874,0.9418302178382874,0.14574451744556427,0.9493589401245117,0.9357337951660156,0.9004186391830444,0.9004186391830444,0.2720627188682556,0.9096477627754211,0.8881579041481018
40,0.9411316514015198,0.9411316514015198,0.14867174625396729,0.9492510557174683,0.9336381554603577,0.8932416439056396,0.8932416439056396,0.2916862964630127,0.9038698077201843,0.8800837397575378
41,0.9420841932296753,0.9420841932296753,0.14575600624084473,0.949485182762146,0.9370038509368896,0.9031100273132324,0.9031100273132324,0.27030232548713684,0.9148216247558594,0.8896530866622925
42,0.9430367946624756,0.9430367946624756,0.14613889157772064,0.9500515460968018,0.9361147880554199,0.9052033424377441,0.9052033424377441,0.2689264714717865,0.9142770171165466,0.8962320685386658
43,0.9427827596664429,0.9427827596664429,0.1473114788532257,0.9487063884735107,0.9361147880554199,0.9007176756858826,0.9007176756858826,0.2701839506626129,0.9101502895355225,0.8875598311424255
44,0.942338228225708,0.942338228225708,0.14345616102218628,0.9485809803009033,0.9360513091087341,0.9043062329292297,0.9043062329292297,0.27373167872428894,0.915925145149231,0.8926435112953186
45,0.9439257979393005,0.9439257979393005,0.14074434340000153,0.9500096440315247,0.9377024173736572,0.8956339955329895,0.8956339955329895,0.27691319584846497,0.9104890823364258,0.8851674795150757
46,0.941703200340271,0.941703200340271,0.14445985853672028,0.9498838782310486,0.935225784778595,0.9114832282066345,0.9114832282066345,0.26440635323524475,0.9221813678741455,0.9001196026802063
47,0.9415761828422546,0.9415761828422546,0.14884188771247864,0.9488651156425476,0.9344636797904968,0.8992224931716919,0.8992224931716919,0.27197709679603577,0.9076734781265259,0.8878588676452637
48,0.9459579586982727,0.9459579586982727,0.13964664936065674,0.9524945020675659,0.9384009838104248,0.8959330320358276,0.8959330320358276,0.2808291018009186,0.9097051620483398,0.885765552520752
49,0.9450054168701172,0.9450054168701172,0.14008821547031403,0.9528228640556335,0.9388455152511597,0.9037081599235535,0.9037081599235535,0.2883109152317047,0.9144088625907898,0.8881579041481018
